ردیف,زمان,سطح,بخش,رویداد,"شناسه مرتبط",پیام,جزئیات
3379,"1405-06-23 09:48:17",اطلاعات,سفارش,order_pending,319665,"سفارش #319665 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3378,"1405-06-23 09:08:13",اطلاعات,سفارش,order_pending,319658,"سفارش #319658 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3377,"1405-06-23 08:49:26",اطلاعات,سفارش,order_pending,319657,"سفارش #319657 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3376,"1405-06-23 08:25:30",اطلاعات,سفارش,order_pending,319656,"سفارش #319656 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3375,"1405-06-23 07:29:11",موفق,سفارش,order_sent,319655,"پیام کامل سفارش #319655 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3374,"1405-06-23 07:27:20",اطلاعات,سفارش,order_pending,319655,"سفارش #319655 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3373,"1405-06-23 07:05:31",موفق,سفارش,order_sent,319653,"پیام کامل سفارش #319653 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3372,"1405-06-23 07:02:56",اطلاعات,سفارش,order_pending,319654,"سفارش #319654 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3371,"1405-06-23 06:57:02",اطلاعات,سفارش,order_pending,319653,"سفارش #319653 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3370,"1405-06-23 06:08:49",اطلاعات,سفارش,order_pending,319652,"سفارش #319652 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3369,"1405-06-23 03:23:09",موفق,سفارش,order_sent,319650,"پیام کامل سفارش #319650 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3368,"1405-06-23 03:07:31",اطلاعات,سفارش,order_pending,319651,"سفارش #319651 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3367,"1405-06-23 03:06:05",اطلاعات,سفارش,order_pending,319650,"سفارش #319650 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3366,"1405-06-23 02:40:37",اطلاعات,سفارش,order_pending,319649,"سفارش #319649 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3365,"1405-06-23 02:27:10",موفق,سفارش,order_sent,319648,"پیام کامل سفارش #319648 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3364,"1405-06-23 02:24:06",اطلاعات,سفارش,order_pending,319648,"سفارش #319648 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3363,"1405-06-23 02:22:12",اطلاعات,سفارش,order_pending,319647,"سفارش #319647 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3362,"1405-06-23 02:18:48",اطلاعات,سفارش,order_pending,319646,"سفارش #319646 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3361,"1405-06-23 02:18:16",اطلاعات,سفارش,order_pending,319645,"سفارش #319645 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3360,"1405-06-23 02:17:24",اطلاعات,سفارش,order_pending,319644,"سفارش #319644 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3359,"1405-06-23 02:14:37",موفق,سفارش,order_sent,319643,"پیام کامل سفارش #319643 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3358,"1405-06-23 02:12:55",اطلاعات,سفارش,order_pending,319643,"سفارش #319643 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3357,"1405-06-23 01:21:51",موفق,سفارش,order_sent,319635,"پیام کامل سفارش #319635 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3356,"1405-06-23 01:21:36",اطلاعات,سفارش,order_pending,319637,"سفارش #319637 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3355,"1405-06-23 01:17:46",اطلاعات,سفارش,order_pending,319635,"سفارش #319635 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3354,"1405-06-23 01:11:21",اطلاعات,سفارش,order_pending,319633,"سفارش #319633 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3353,"1405-06-23 01:05:22",موفق,سفارش,order_sent,319631,"پیام کامل سفارش #319631 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3352,"1405-06-23 01:04:03",موفق,سفارش,order_sent,319613,"پیام کامل سفارش #319613 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3351,"1405-06-23 01:03:26",اطلاعات,سفارش,order_pending,319631,"سفارش #319631 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
